,City,Country,Lat,Long,Date,Max Temp,Humidity,Cloudiness,Wind Speed
28,Barrow,US,71.29,-156.79,1592425760,42.8,70,1,11.41
29,Mataura,NZ,-46.19,168.86,1592425728,39.0,83,13,3.0
30,Hilo,US,19.73,-155.09,1592425910,79.0,57,90,4.99
31,San Andrés,CO,12.58,-81.7,1592425910,84.2,83,40,11.41
32,Provideniya,RU,64.38,-173.3,1592425910,57.2,58,97,6.71
33,Bredasdorp,ZA,-34.53,20.04,1592425910,48.2,87,0,4.07
34,Qaanaaq,GL,77.48,-69.36,1592425728,34.09,89,45,3.31
35,Narsaq,GL,60.92,-46.05,1592425282,46.4,65,75,8.05
36,Vaini,TO,-21.2,-175.2,1592425738,73.4,73,20,13.87
37,Evensk,RU,61.95,159.23,1592425842,55.22,69,17,3.56
38,East London,ZA,-33.02,27.91,1592425911,61.57,73,1,13.44
39,Kununurra,AU,-15.77,128.73,1592425912,64.4,47,0,4.7
40,Vao,NC,-22.67,167.48,1592425387,73.09,76,97,11.1
41,Bengkulu,ID,-3.8,102.27,1592425912,77.29,85,97,4.18
42,Soure,BR,-0.72,-48.52,1592425912,80.67,84,70,11.56
43,Katsuura,JP,35.13,140.3,1592425356,69.8,88,75,8.05
44,Poronaysk,RU,49.22,143.12,1592425913,45.27,95,100,9.13
45,Gewanē,ET,10.17,40.65,1592425913,93.7,25,98,2.66
46,Antalaha,MG,-14.9,50.28,1592425913,66.67,80,2,10.69
47,Ilulissat,GL,69.22,-51.1,1592425913,39.2,73,85,6.93
48,Sola,VU,-13.88,167.55,1592425914,80.15,83,100,22.68
49,Khatanga,RU,71.97,102.5,1592425914,48.74,59,100,13.51
50,Bluff,NZ,-46.6,168.33,1592425318,39.0,83,27,3.0
51,Lavrentiya,RU,65.58,-171.0,1592425849,49.37,66,59,2.71
52,Lokomotivnyy,RU,53.01,60.57,1592425915,58.57,87,66,8.63
53,Albany,US,42.6,-73.97,1592425890,88.0,23,0,3.27
54,Bestöbe,KZ,52.5,73.1,1592425915,62.26,63,60,10.85
55,Guerrero Negro,MX,27.98,-114.06,1592425341,73.85,50,0,15.46
56,Puerto Ayora,EC,-0.74,-90.35,1592425865,75.2,78,75,8.05
57,Saint-Philippe,RE,-21.36,55.77,1592425916,68.0,88,75,14.99
58,Lompoc,US,34.64,-120.46,1592425916,73.4,53,3,13.87
59,Avera,US,33.19,-82.53,1592425916,75.2,57,90,4.7
60,Gazimurskiy Zavod,RU,51.55,118.33,1592425916,55.02,91,43,2.75
61,Hobart,AU,-42.88,147.33,1592425705,35.6,82,20,3.36
62,Cape Town,ZA,-33.93,18.42,1592425916,51.01,81,58,4.7
63,Rio Verde de Mato Grosso,BR,-18.92,-54.84,1592425908,76.26,56,10,6.69
64,Kostanay,KZ,53.17,63.58,1592425917,59.0,67,60,6.71
65,Diok’nisi,GE,41.63,42.39,1592425917,69.8,94,100,4.7
66,Kalmunai,LK,7.42,81.82,1592425917,81.5,76,100,9.84
67,Grand Island,US,40.92,-98.34,1592425917,95.0,34,1,28.86
68,Akureyri,IS,65.68,-18.09,1592425917,53.6,66,39,10.29
69,Borshchiv,UA,48.8,26.04,1592425917,66.0,80,14,3.0
70,Makkah al Mukarramah,SA,21.43,39.83,1592425918,91.85,14,49,5.93
71,Shirokiy,RU,49.76,129.52,1592425918,51.6,91,37,2.46
72,Selfoss,IS,63.93,-21.0,1592425918,48.0,81,100,8.99
73,Rādhanpur,IN,23.83,71.6,1592425918,88.88,69,69,20.8
74,Sørland,NO,67.67,12.69,1592425383,53.6,62,0,13.87
75,Tuktoyaktuk,CA,69.45,-133.04,1592425752,44.6,93,75,8.05
76,Yārāda,IN,17.65,83.27,1592425919,84.2,89,40,2.24
77,Pisco,PE,-13.7,-76.22,1592425293,71.6,64,0,25.28
78,Cosoleacaque,MX,18.0,-94.62,1592425919,87.8,70,40,16.11
79,Hermanus,ZA,-34.42,19.23,1592425919,51.01,84,2,7.14
80,Mossamedes,AO,-15.2,12.15,1592425919,70.86,67,0,5.68
81,Hithadhoo,MV,-0.6,73.08,1592425746,84.27,75,17,6.96
82,Gilbués,BR,-9.83,-45.34,1592425920,77.67,51,59,4.97
83,Rocha,UY,-34.48,-54.33,1592425920,68.67,79,100,13.82
84,Mackay,AU,-21.15,149.2,1592425920,68.0,82,90,13.87
85,Kharp,RU,66.8,65.81,1592425920,35.31,87,87,9.64
86,Saint Paul Harbor,US,57.79,-152.41,1592425213,50.0,87,90,17.22
87,Abu Samrah,SY,35.3,37.18,1592425921,74.05,45,0,11.16
88,İzmit,TR,40.77,29.92,1592425921,60.8,100,40,3.13
89,Vallenar,CL,-28.57,-70.76,1592425387,60.89,55,21,4.68
90,Port Alfred,ZA,-33.59,26.89,1592425921,53.01,88,0,5.01
91,Hasaki,JP,35.73,140.83,1592425922,66.2,93,75,6.93
92,Sioux Lookout,CA,50.1,-91.92,1592425370,89.6,40,20,13.87
93,Bireun,ID,5.2,96.7,1592425922,75.9,80,96,5.1
94,Marawi,PH,8.0,124.29,1592425922,68.9,90,100,3.18
95,Torbay,CA,47.67,-52.73,1592425922,73.0,37,90,18.34
96,Mahébourg,MU,-20.41,57.7,1592425922,69.8,88,75,18.34
97,Lingao,CN,19.91,109.69,1592425922,79.12,80,0,9.98
98,Avarua,CK,-21.21,-159.78,1592425923,73.4,64,10,9.17
99,Ballina,AU,-28.87,153.57,1592425923,55.4,93,75,5.82
100,Bari,IT,41.12,16.85,1592425923,73.0,78,20,5.82
101,Coquimbo,CL,-29.95,-71.34,1592425923,60.8,59,4,2.24
102,Brae,GB,60.4,-1.35,1592425770,53.6,93,100,3.36
103,Ancud,CL,-41.87,-73.82,1592425924,52.0,87,75,12.75
104,Kruisfontein,ZA,-34.0,24.73,1592425924,53.4,41,0,5.86
105,Acajutla,SV,13.59,-89.83,1592425780,81.0,87,100,5.01
106,Yellowknife,CA,62.46,-114.35,1592425726,61.0,43,40,17.22
107,Berdigestyakh,RU,62.1,126.7,1592425924,63.57,59,18,8.12
108,Catuday,PH,16.29,119.81,1592425924,81.28,78,100,4.16
109,Tomatlán,MX,19.93,-105.25,1592425925,91.72,40,0,10.4
110,Mareeba,AU,-17.0,145.43,1592425777,71.6,88,90,10.29
111,Bollnäs,SE,61.35,16.39,1592425925,56.79,93,68,1.63
112,Esperance,AU,-33.87,121.9,1592425925,55.4,87,75,12.75
113,Mount Isa,AU,-20.73,139.5,1592425838,60.8,48,0,5.82
114,Ortaköy,TR,38.74,34.04,1592425926,71.6,43,40,9.17
115,Svarstad,NO,59.4,9.97,1592425926,64.99,1,0,1.23
116,Te Anau,NZ,-45.42,167.72,1592425926,35.74,85,15,5.82
117,Walvis Bay,NA,-22.96,14.51,1592425926,73.4,20,0,11.41
118,Clyde River,CA,70.47,-68.59,1592425927,35.6,80,90,9.17
119,Dikson,RU,73.51,80.55,1592425927,33.19,91,90,2.33
120,Jalingo,NG,8.88,11.37,1592425927,78.51,84,100,4.47
121,Upernavik,GL,72.79,-56.15,1592425927,35.22,86,0,4.79
122,Srednekolymsk,RU,67.45,153.68,1592425793,78.12,34,0,7.81
123,Isangel,VU,-19.55,169.27,1592425927,73.4,88,75,6.93
124,Vila Velha,BR,-20.33,-40.29,1592425927,73.4,69,40,5.82
125,Mehamn,NO,71.04,27.85,1592425803,44.6,75,1,8.05
126,Harper,LR,4.38,-7.72,1592425928,77.86,84,60,11.39
127,Sisimiut,GL,66.94,-53.67,1592425821,37.63,79,83,10.78
128,Bilibino,RU,68.05,166.44,1592425928,73.56,29,96,4.45
129,Franco da Rocha,BR,-23.32,-46.73,1592425928,71.6,49,3,8.05
130,Huarmey,PE,-10.07,-78.15,1592425354,69.98,64,0,13.33
131,Geraldton,AU,-28.77,114.6,1592425380,64.4,68,75,18.34
132,Castro,BR,-24.79,-50.01,1592425929,59.16,89,0,4.83
133,Poltavka,RU,54.37,71.76,1592425880,58.68,84,22,8.34
134,Garissa,KE,-0.45,39.64,1592425929,75.96,59,24,19.53
135,Faanui,PF,-16.48,-151.75,1592425848,80.82,80,100,8.39
136,Chokurdakh,RU,70.63,147.92,1592425929,70.77,36,13,7.58
137,Mujiayingzi,CN,42.12,118.78,1592425930,65.62,56,100,8.14
138,Mar del Plata,AR,-38.0,-57.56,1592425759,64.4,93,90,3.36
139,Zemio,CF,5.03,25.14,1592425930,71.17,81,100,1.43
140,Nome,US,64.5,-165.41,1592425749,66.2,52,40,8.05
141,Ushtobe,KZ,45.25,77.98,1592425930,60.71,55,0,10.65
142,Beyneu,KZ,45.32,55.2,1592425338,81.36,16,0,7.52
143,Cidreira,BR,-30.18,-50.21,1592425930,64.53,87,6,10.49
144,Cabedelo,BR,-6.98,-34.83,1592425660,78.8,78,20,10.29
145,Middelburg,ZA,-25.78,29.46,1592425869,40.05,90,4,12.01
146,Sitka,US,57.05,-135.33,1592425211,55.4,66,90,4.7
147,Bintulu,MY,3.17,113.03,1592425931,77.0,94,90,3.36
148,Tottori-shi,JP,35.5,134.23,1592425762,69.6,58,100,4.68
149,Pangnirtung,CA,66.15,-65.71,1592425931,39.2,69,90,17.22
150,Yangi Marg`ilon,UZ,40.43,71.72,1592425932,68.0,42,60,6.93
151,Broome,US,42.25,-75.83,1592425932,82.99,36,1,3.36
152,Bambous Virieux,MU,-20.34,57.76,1592425731,69.8,88,75,18.34
153,Vestmannaeyjar,IS,63.44,-20.27,1592425932,48.9,77,100,16.33
154,Kavieng,PG,-2.57,150.8,1592425932,83.14,73,12,8.37
155,Port Blair,IN,11.67,92.75,1592425843,82.94,81,100,12.12
156,Longyearbyen,SJ,78.22,15.64,1592425760,39.2,69,20,5.82
157,Aklavik,CA,68.22,-135.01,1592425770,62.6,59,40,4.7
158,Carmo do Paranaíba,BR,-19.0,-46.32,1592425933,64.99,65,31,4.0
159,Bikaner,IN,28.02,73.3,1592425933,96.58,35,1,24.45
160,Aykino,RU,62.22,49.99,1592425934,42.64,76,0,4.59
161,Rabo de Peixe,PT,37.8,-25.58,1592425934,64.4,72,20,16.11
162,Yongchang,CN,30.04,119.73,1592425934,82.99,66,100,3.71
163,Ostrovnoy,RU,68.05,39.51,1592425934,41.0,76,0,4.27
164,Makassar,ID,-5.14,119.42,1592425934,77.0,100,20,1.12
165,Pecos,US,31.42,-103.49,1592425934,100.4,18,1,8.43
166,Fort Nelson,CA,58.81,-122.7,1592425935,59.0,82,75,4.7
167,Capitola,US,36.98,-121.95,1592425935,80.01,41,1,9.17
168,Kitaibaraki,JP,36.78,140.75,1592425935,73.0,72,100,1.7
169,Laguna,US,38.42,-121.42,1592425793,84.2,20,1,12.75
170,Prince Rupert,CA,54.32,-130.32,1592425352,60.8,63,90,4.7
171,Saskylakh,RU,71.92,114.08,1592425764,57.52,56,67,15.97
172,São Gabriel da Cachoeira,BR,-0.13,-67.09,1592425936,75.2,94,90,3.36
173,Port-Gentil,GA,-0.72,8.78,1592425351,75.2,88,90,9.17
174,San Vicente,AR,-26.62,-54.13,1592425358,72.39,66,0,6.62
175,Tiksi,RU,71.69,128.87,1592425937,50.41,80,100,6.46
176,Chui,UY,-33.7,-53.46,1592425937,66.99,80,100,9.51
177,Bouna,CI,9.27,-3.0,1592425937,75.31,90,69,7.16
178,Bassar,TG,9.25,0.78,1592425937,73.9,92,3,4.16
179,Laem Sing,TH,12.48,102.07,1592425937,76.62,90,100,6.08
180,Porto Walter,BR,-8.27,-72.74,1592425938,87.73,51,63,2.68
181,Phan Thiet,VN,10.93,108.1,1592425938,78.3,85,90,3.69
182,Ucluelet,CA,48.93,-125.55,1592425073,60.01,82,90,2.24
183,Natal,BR,-5.79,-35.21,1592425938,80.6,74,20,13.87
184,Fortuna,US,40.6,-124.16,1592425754,68.0,68,20,14.99
185,Ahipara,NZ,-35.17,173.17,1592425939,60.26,90,88,9.73
186,Noumea,NC,-22.28,166.46,1592425807,66.2,88,75,1.12
187,Cairns,AU,-16.92,145.77,1592425939,71.6,88,90,10.29
188,Samarai,PG,-10.62,150.67,1592425939,79.03,83,100,14.83
189,Cherskiy,RU,68.75,161.3,1592425939,76.3,30,67,2.59
190,Sturgeon Falls,CA,46.36,-79.93,1592425939,80.6,32,20,5.82
191,Carnarvon,AU,-24.87,113.63,1592425940,68.0,100,75,4.7
192,Husavik,IS,66.04,-17.34,1592425940,53.6,66,22,10.29
193,Haines Junction,CA,60.75,-137.51,1592425940,61.65,40,1,10.92
194,Grass Valley,US,39.22,-121.06,1592425780,81.0,22,1,8.05
195,Nikolskoye,RU,59.7,30.79,1592425940,68.0,82,20,8.95
196,Māngrol,IN,21.12,70.12,1592425941,84.25,83,94,13.56
197,Tasiilaq,GL,65.61,-37.64,1592425147,37.4,86,100,27.51
198,Constitución,CL,-35.33,-72.42,1592425941,53.76,89,99,13.82
199,Lamu,KE,-2.27,40.9,1592425941,77.5,81,81,18.88
200,Carutapera,BR,-1.2,-46.02,1592425941,78.73,88,26,6.04
201,Kilindoni,TZ,-7.91,39.67,1592425942,79.93,70,70,22.97
202,Ushumun,RU,52.78,126.53,1592425942,51.67,68,0,4.25
203,Warwick,US,41.7,-71.42,1592425942,84.0,47,20,10.29
204,Port Elizabeth,ZA,-33.92,25.57,1592425942,53.6,87,0,3.36
205,Guilin,CN,25.28,110.29,1592425942,80.6,83,75,8.95
206,Hambantota,LK,6.12,81.12,1592425942,80.74,84,93,15.64
207,Province of Brindisi,IT,40.58,17.67,1592425943,73.99,73,29,4.7
208,Ardakān,IR,32.31,54.02,1592425943,89.6,11,0,9.17
209,Talnakh,RU,69.49,88.4,1592425943,37.4,93,93,8.95
210,Tazovsky,RU,67.47,78.7,1592425371,38.05,74,52,4.12
211,Faya,SA,18.39,42.45,1592425338,78.8,27,85,4.09
212,Houston,US,29.76,-95.36,1592425395,95.0,38,40,8.05
213,Vila Franca do Campo,PT,37.72,-25.43,1592425943,64.4,72,20,16.11
214,George Town,MY,5.41,100.34,1592425769,80.6,94,40,4.7
215,Majene,ID,-3.54,118.97,1592425944,77.9,85,100,12.97
216,Bethel,US,41.37,-73.41,1592425730,82.99,47,1,9.17
217,Şile,TR,41.18,29.61,1592425944,71.01,77,15,4.47
218,Pacifica,US,37.61,-122.49,1592425813,73.99,49,1,16.11
219,Vardø,NO,70.37,31.11,1592425944,44.6,81,13,11.41
220,Agirish,RU,61.92,63.02,1592425945,41.81,78,48,7.72
221,Santa Cruz Cabrália,BR,-16.28,-39.02,1592425946,75.2,64,40,6.93
222,Matara,LK,5.95,80.54,1592425946,79.34,89,71,8.95
223,Comodoro Rivadavia,AR,-45.87,-67.5,1592425743,53.6,62,100,5.82
224,Chanthaburi,TH,12.83,102.17,1592425947,65.89,100,100,0.78
225,Bubaque,GW,11.28,-15.83,1592425790,80.15,88,19,17.92
226,Lovington,US,32.94,-103.35,1592425947,95.0,23,5,11.41
227,Abu Dhabi,AE,24.47,54.37,1592425802,90.0,79,0,4.7
228,Ribeira Grande,PT,38.52,-28.7,1592425947,66.2,77,75,5.82
229,Nuuk,GL,64.18,-51.72,1592425745,39.2,86,75,3.36
230,Nagato,JP,34.38,131.2,1592425948,70.0,94,75,5.82
231,New Norfolk,AU,-42.78,147.06,1592425683,33.01,88,0,2.91
232,Avrămeşti,RO,46.33,25.02,1592425948,64.4,88,47,2.24
233,Sangar,RU,63.92,127.47,1592425948,64.98,56,0,9.57
234,São Filipe,CV,14.9,-24.5,1592425949,77.16,75,2,10.02
235,Saldanha,ZA,-33.01,17.94,1592425949,59.0,51,22,8.05
236,Kamaishi,JP,39.27,141.88,1592425949,64.71,72,0,2.3
237,Saint John,CA,45.27,-66.07,1592425949,75.0,46,75,17.22
238,Codrington,AU,-38.27,141.97,1592425949,44.64,88,93,11.32
239,Voyvozh,RU,62.89,54.96,1592425949,38.05,84,23,5.48
240,Guangming,CN,45.33,122.78,1592425950,61.84,76,69,6.82
241,Zhangzhou,CN,24.51,117.66,1592425950,82.4,78,54,6.71
242,Baijiantan,CN,45.63,85.18,1592425950,76.44,35,80,16.69
243,Devils Lake,US,48.11,-98.87,1592425950,75.2,78,1,8.05
244,Russell,US,32.35,-85.2,1592425950,82.4,48,75,8.05
245,Arraial do Cabo,BR,-22.97,-42.03,1592425950,71.6,68,20,12.75
246,Lincoln,US,40.8,-96.67,1592425888,93.2,38,20,23.04
247,Otradnoye,RU,59.78,30.82,1592425887,68.0,82,20,8.95
248,Saint-Joseph,RE,-21.37,55.62,1592425951,66.2,88,75,14.99
249,Cabo San Lucas,MX,22.89,-109.91,1592425855,91.4,36,5,9.17
250,Deputatsky,RU,69.3,139.9,1592425951,70.12,42,0,5.23
251,Ndélé,CF,8.41,20.65,1592425951,72.1,88,100,4.18
252,Ziro,IN,27.63,93.83,1592425952,60.44,100,99,2.21
253,Koutiala,ML,12.39,-5.46,1592425952,83.1,58,78,24.81
254,Pailón,BO,-17.65,-62.75,1592425952,84.2,58,20,17.22
255,Sidi Ali,DZ,36.1,0.42,1592425952,69.85,66,47,1.39
256,Havre-St-Pierre,CA,50.23,-63.6,1592425953,62.6,67,90,10.29
257,Tual,ID,-5.67,132.75,1592425953,80.33,83,35,21.56
258,Ouallam,NE,14.32,2.09,1592425953,96.57,29,84,7.02
259,Laas,IT,46.62,10.7,1592425884,50.0,87,75,9.17
260,Mugur-Aksy,RU,50.35,90.5,1592425953,50.5,72,100,0.96
261,Arman',RU,59.7,150.17,1592425768,50.67,76,0,3.2
262,Ilabaya,PE,-17.42,-70.51,1592425954,69.13,41,50,4.92
263,Târgu Bujor,RO,45.87,27.9,1592425954,65.23,87,93,5.73
264,Sahuaripa,MX,29.05,-109.23,1592425954,104.02,13,0,9.13
265,Pacific Grove,US,36.62,-121.92,1592425954,79.0,59,1,8.05
266,Chara,RU,56.91,118.26,1592425955,52.03,81,100,1.32
267,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,1592425766,41.0,100,90,2.24
268,Dwārka,IN,22.24,68.97,1592425955,85.05,81,11,16.13
269,Belyy Yar,RU,53.6,91.39,1592425955,50.0,93,88,2.24
270,Salacgrīva,LV,57.75,24.36,1592425955,69.01,84,72,1.01
271,Hay River,CA,60.82,-115.8,1592425865,57.2,58,75,14.99
272,Kabalo,CD,-6.05,26.92,1592425955,68.52,42,0,3.83
273,Road Town,VG,18.42,-64.62,1592425956,86.0,66,40,9.17
274,Liwale,TZ,-9.77,37.93,1592425956,69.76,53,60,6.15
275,Qaqortoq,GL,60.72,-46.03,1592425956,46.4,65,75,8.05
276,Zhangaözen,KZ,43.3,52.8,1592425956,78.69,17,97,13.44
277,Ambilobe,MG,-13.2,49.05,1592425956,63.27,70,13,4.0
278,Owando,CG,-0.48,15.9,1592425956,74.93,63,8,1.07
279,Aden,YE,12.78,45.04,1592425737,87.89,72,98,12.97
280,Paranavaí,BR,-23.07,-52.47,1592425957,78.8,57,20,11.41
281,Ayagoz,KZ,47.97,80.44,1592425957,56.35,71,38,15.05
282,Sungai Penuh,ID,-2.08,101.38,1592425957,64.22,94,52,2.64
283,Ambanja,MG,-13.68,48.45,1592425957,67.53,64,9,5.17
284,Thompson,CA,55.74,-97.86,1592425668,42.8,93,90,18.34
285,Sooke,CA,48.37,-123.73,1592425958,68.0,67,20,13.87
286,Miyang,CN,24.4,103.44,1592425958,67.6,89,100,4.07
287,Meulaboh,ID,4.14,96.13,1592425958,77.63,76,97,3.85
288,Bridgetown,BB,13.1,-59.62,1592425704,86.0,66,40,19.46
289,Misratah,LY,32.38,15.09,1592425958,75.18,57,0,12.44
290,Vila,PT,42.03,-8.16,1592425958,60.01,82,27,9.17
291,Lagoa,PT,39.05,-27.98,1592425959,63.68,79,100,9.26
292,Daru,PG,-9.08,143.21,1592425959,77.94,86,77,17.56
293,Peleduy,RU,59.63,112.74,1592425959,51.69,83,43,2.13
294,Birjand,IR,32.87,59.22,1592425959,80.6,11,0,11.41
295,Karymskoye,RU,51.62,114.35,1592425960,52.18,60,25,4.12
296,Cortez,US,37.35,-108.59,1592425715,82.4,10,1,13.87
297,Cockburn Town,TC,21.46,-71.14,1592425378,86.0,62,40,11.41
298,Leningradskiy,RU,69.38,178.42,1592425961,49.28,54,93,9.19
299,Bogorodskoye,RU,56.55,37.88,1592425961,66.04,85,98,4.56
300,Kahului,US,20.89,-156.47,1592425757,87.8,43,20,20.8
301,Carman,CA,49.5,-98.0,1592425961,86.0,51,75,9.17
302,Kavaratti,IN,10.57,72.64,1592425372,84.78,77,100,22.55
303,Pevek,RU,69.7,170.31,1592425961,44.04,64,99,5.1
304,Huanta,PE,-12.93,-74.25,1592425961,69.28,38,13,4.5
305,Cravo Norte,CO,6.3,-70.2,1592425962,84.33,75,84,2.26
306,Tadine,NC,-21.55,167.88,1592425962,72.63,79,31,12.06
307,Abéché,TD,13.83,20.83,1592425962,80.1,60,64,7.14
308,Santa Cruz de la Sierra,BO,-17.8,-63.17,1592425915,84.2,51,20,25.28
309,Najrān,SA,17.49,44.13,1592425962,87.8,17,100,6.93
310,Hirara,JP,24.8,125.28,1592425963,83.35,83,100,23.13
311,Oranjemund,NA,-28.55,16.43,1592425963,68.5,29,0,18.19
312,Naze,JP,28.37,129.48,1592425963,78.8,100,40,10.29
313,Enköping,SE,59.64,17.08,1592425963,59.0,87,4,3.36
314,Carberry,CA,49.87,-99.36,1592425963,77.0,57,75,12.75
315,Antofagasta,CL,-23.65,-70.4,1592425963,62.6,72,20,17.22
316,Cap Malheureux,MU,-19.98,57.61,1592425808,68.0,89,43,8.01
317,Plessisville,CA,46.22,-71.76,1592425964,86.0,30,75,16.11
318,Imeni Poliny Osipenko,RU,52.42,136.49,1592425964,42.84,82,78,10.33
319,Bend,US,44.06,-121.32,1592425964,66.0,36,1,6.71
320,Horta,PT,38.53,-28.63,1592425964,66.2,77,75,5.82
321,Saint-Pierre,RE,-21.34,55.48,1592425964,66.2,88,75,14.99
322,Ambatofinandrahana,MG,-20.55,46.8,1592425965,48.54,78,56,12.3
323,La Asuncion,VE,11.03,-63.86,1592425965,69.8,100,0,14.99
324,Marsh Harbour,BS,26.54,-77.06,1592425965,79.56,80,16,15.35
325,Traverse City,US,44.76,-85.62,1592425965,80.6,42,20,9.17
326,Bone,DE,51.97,12.14,1592425965,73.4,60,100,1.12
327,Pitimbu,BR,-7.47,-34.81,1592425710,78.8,78,20,10.29
328,Iralaya,HN,15.0,-83.23,1592425965,84.2,79,75,6.93
329,Salaga,GH,8.55,-0.52,1592425966,80.67,76,19,6.31
330,Port Hedland,AU,-20.32,118.57,1592425966,64.4,82,90,6.93
331,Dzhubga,RU,44.32,38.7,1592425966,72.75,83,0,5.95
332,Cafelândia,BR,-21.8,-49.61,1592425966,70.07,70,15,7.02
333,Telhāra,IN,21.03,76.84,1592425966,84.51,69,100,6.64
334,Mayo,US,38.89,-76.51,1592425800,72.0,78,90,9.17
335,Viedma,AR,-40.81,-63.0,1592425967,51.15,71,100,4.74
336,Havøysund,NO,71.0,24.66,1592425967,48.2,81,29,5.82
337,Nadym,RU,65.53,72.52,1592425967,37.72,76,0,7.16
338,Maniitsoq,GL,65.42,-52.9,1592425701,36.9,82,66,6.78
339,Stornoway,GB,58.21,-6.39,1592425723,55.99,93,76,3.36
340,Waspán,NI,14.74,-83.97,1592425968,84.2,79,75,6.93
341,Innisfail,AU,-17.53,146.03,1592425865,63.0,96,100,4.0
342,Mattru,SL,7.62,-11.83,1592425968,75.51,97,84,2.95
343,Honiara,SB,-9.43,159.95,1592425968,73.4,100,20,4.16
344,Port Hardy,CA,50.7,-127.42,1592425968,57.2,76,75,5.82
345,Port Macquarie,AU,-31.43,152.92,1592425968,57.2,100,90,6.93
346,Gimbi,ET,9.17,35.83,1592425969,57.06,100,66,2.33
347,Bonavista,CA,48.65,-53.11,1592425969,57.97,61,100,21.77
348,Evansville,US,37.97,-87.56,1592425532,84.2,35,20,6.69
349,Praia da Vitória,PT,38.73,-27.07,1592425777,64.4,72,75,10.94
350,Fare,PF,-16.7,-151.02,1592425969,81.75,79,100,13.87
351,Fairbanks,US,64.84,-147.72,1592425911,75.99,37,1,3.36
352,Birin,NP,26.89,88.07,1592425970,64.44,100,93,4.36
353,Sembabule,UG,-0.08,31.46,1592425970,62.96,75,41,3.49
354,Strezhevoy,RU,60.73,77.59,1592425923,48.2,93,75,8.95
355,Itacoatiara,BR,-3.14,-58.44,1592425970,82.4,83,52,3.36
356,Katobu,ID,-4.94,122.53,1592425971,74.68,92,62,5.01
357,Izumo,JP,35.37,132.77,1592425971,68.0,88,75,1.12
358,Fenoarivo,MG,-18.93,47.44,1592425971,51.8,81,75,9.17
359,Lorengau,PG,-2.02,147.27,1592425971,81.73,78,42,9.24
360,Klaksvík,FO,62.23,-6.59,1592425745,50.0,93,96,4.7
361,Barguzin,RU,53.62,109.62,1592425972,48.79,67,0,2.75
362,Saint Anthony,US,45.02,-93.22,1592425972,89.6,38,1,19.46
363,Half Moon Bay,US,37.46,-122.43,1592425696,84.0,21,5,5.82
364,San Patricio,MX,19.22,-104.7,1592425972,87.8,74,20,11.41
365,Adrar,MR,20.5,-10.07,1592425972,99.57,15,0,17.38
366,Barra Patuca,HN,15.8,-84.28,1592425973,81.81,80,98,10.58
367,Annau,TM,37.89,58.52,1592425973,84.2,20,20,6.93
368,Flinders,AU,-34.58,150.86,1592425808,55.0,85,73,1.01
369,Río Gallegos,AR,-51.62,-69.22,1592425973,32.0,96,0,3.36
370,Buin,CL,-33.73,-70.75,1592425973,53.6,87,75,4.21
371,Paraíso,CR,9.84,-83.87,1592425811,73.0,94,75,3.36
372,Asău,RO,46.43,26.4,1592425974,60.01,94,69,2.46
